% time     seconds  usecs/call     calls    errors syscall
Se usa write sin compresión y con un buffer pequeño 

------ ----------- ----------- --------- --------- ----------------
 99.97   27.363309          33    819206           write
  0.02    0.006836        3418         2           munmap
  0.00    0.000195          15        13           mmap
  0.00    0.000136          34         4           mprotect
  0.00    0.000116         116         1           newfstatat
  0.00    0.000104          26         4           openat
  0.00    0.000093          23         4           close
  0.00    0.000059          19         3           brk
  0.00    0.000028          28         1           getrandom
  0.00    0.000026          26         1           prlimit64
  0.00    0.000022           5         4           fstat
  0.00    0.000019          19         1           arch_prctl
  0.00    0.000018          18         1           set_tid_address
  0.00    0.000018          18         1           rseq
  0.00    0.000017          17         1           set_robust_list
  0.00    0.000000           0         2           read
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00   27.370996          33    819253         1 total
