% time     seconds  usecs/call     calls    errors syscall

se usa mmpap y compresion:
------ ----------- ----------- --------- --------- ----------------
 81.55    0.005870        1174         5           munmap
 11.16    0.000803         803         1           msync
  3.53    0.000254          42         6           write
  1.38    0.000099          24         4           close
  1.21    0.000087          87         1           newfstatat
  0.63    0.000045           2        16           mmap
  0.29    0.000021           3         7           brk
  0.26    0.000019           4         4           fstat
  0.00    0.000000           0         2           read
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           ftruncate
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         4           openat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.007198         110        65         1 total
