% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 25.54    0.007686          28       272           write
 24.13    0.007261          36       198           read
 23.43    0.007051          18       390           rt_sigaction
 22.17    0.006671          17       380           poll
  1.17    0.000352          16        22           ioctl
  0.89    0.000267          33         8           openat
  0.68    0.000206          41         5         2 newfstatat
  0.51    0.000152          19         8           close
  0.51    0.000152          21         7           brk
  0.40    0.000121          30         4         2 access
  0.14    0.000042          21         2           setfsuid
  0.13    0.000040          20         2           setfsgid
  0.06    0.000019           3         6           fstat
  0.06    0.000018          18         1           getuid
  0.06    0.000018          18         1           getgid
  0.06    0.000018          18         1           geteuid
  0.06    0.000018          18         1           getegid
  0.00    0.000000           0        20           mmap
  0.00    0.000000           0         6           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.030092          22      1344         4 total
